nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm13186344,Victoria Jackson,\N,\N,"assistant_director,script_department",\N
nm1325419,Kristen Wiig,1973,\N,"actress,soundtrack,producer","tt1608290,tt0359950,tt1571249,tt1478338"
nm13266366,Jeff Richards,\N,\N,actor,\N
nm13281524,Mike O'Brien,\N,\N,producer,\N
nm13281861,Tom Davis,\N,\N,nan,\N
nm13308038,Dennis Miller,\N,\N,nan,\N
nm13337965,Leslie Jones,\N,\N,executive,\N
nm13349009,Brad Hall,\N,\N,nan,"tt13639450,tt12747694"
nm13349549,Tim Robinson,\N,\N,nan,\N
nm13353192,Chris Parnell,\N,\N,nan,\N
nm1338203,Leslie Jones,\N,\N,"costume_department,make_up_department","tt0444631,tt0357577"
nm13382765,Tim Meadows,\N,\N,nan,\N
nm13405263,Rich Hall,\N,\N,nan,\N
nm13467885,Victoria Jackson,\N,\N,costume_department,tt15659704
nm13479010,Tim Robinson,\N,\N,actor,tt18546600
nm13488570,Kyle Mooney,\N,\N,camera_department,tt18764878
nm1349208,Tim Robinson,\N,\N,actor,tt6168110
nm1386521,Bill Murray,\N,\N,actor,tt0351810
nm1396935,Tim Robinson,\N,\N,"producer,director","tt1715425,tt0775402,tt3558296,tt0968732"
nm1401295,Martin Short,\N,\N,nan,\N
nm1427969,Tracy Morgan,\N,\N,nan,tt1173421
nm1443527,Rob Riggle,1970,\N,"actor,writer,producer","tt1232829,tt1119646,tt0115147,tt2096672"
nm1459509,Finesse Mitchell,1972,\N,"actor,writer,soundtrack","tt0072562,tt0785077,tt0790804,tt0951216"
nm1480256,Rich Hall,\N,\N,actor,"tt1330618,tt0108709,tt1517640"
nm1510062,Mikey Day,1980,\N,"actor,writer,producer","tt4000956,tt0072562,tt2076347,tt1217217"
nm1558206,Mike O'Brien,\N,\N,actor,"tt0398291,tt1730767,tt1387418"
nm1578488,Adam Sandler,\N,\N,"director,producer,editorial_department","tt10428498,tt12116598,tt0068120,tt13689618"
nm1654181,Chris Elliott,\N,\N,"miscellaneous,sound_department","tt0412109,tt0338616,tt0399977,tt6261554"
nm1676221,Andy Samberg,1978,\N,"actor,producer,soundtrack","tt3960412,tt0072562,tt9484998,tt2467372"
nm1687172,Paul Brittain,\N,\N,actor,tt0413660
nm1737885,Chris Rock,\N,\N,visual_effects,"tt0382992,tt0317705,tt0198781"
nm1746994,Christopher Guest,\N,\N,nan,tt0040053
nm1752760,Mike Myers,1969,\N,nan,"tt2140691,tt1045847,tt0476931,tt1020929"
nm1771830,Chris Rock,\N,\N,actor,tt0434026
nm1807732,Tom Davis,\N,\N,miscellaneous,tt0439911
nm1829094,Tim Robinson,\N,\N,actor,tt0083731
nm1831668,Bill Murray,\N,\N,cinematographer,tt0448004
nm1840659,Nasim Pedrad,1981,\N,"actress,producer,writer","tt6139732,tt2490326,tt1690953,tt10338160"
nm1843779,Jeff Richards,\N,\N,"writer,director,producer","tt0904115,tt1877853"
nm1877197,Victoria Jackson,\N,\N,make_up_department,"tt10483744,tt0455841,tt6769236,tt5941780"
nm1906042,Colin Jost,1982,\N,"writer,actor,miscellaneous","tt6802400,tt1292566,tt1361336,tt0072562"
nm1907457,Bill Murray,\N,\N,"actor,writer","tt0457251,tt0961721"
nm1934954,Mike O'Brien,\N,\N,visual_effects,tt0120841
nm1942080,Tom Davis,\N,\N,"producer,director,writer","tt0789775,tt1215983,tt2062966,tt4276112"
nm1962331,Casey Wilson,1987,\N,actor,tt0457394
nm1971084,Tim Robinson,\N,\N,actor,tt0105986
nm1978226,Tim Robinson,\N,\N,"actor,producer","tt5786442,tt1309181,tt0484257,tt0483776"
nm1981812,Bill Murray,\N,\N,actor,tt0122145
nm1988111,Casey Wilson,1980,\N,"actress,writer,soundtrack","tt1509788,tt1103153,tt0901476,tt2267998"
nm2018971,Bill Murray,\N,\N,nan,tt0281438
nm2019506,Mike O'Brien,\N,\N,nan,\N
nm2062929,Christopher Guest,1975,\N,"producer,visual_effects,miscellaneous","tt12716280,tt1822842,tt8022434,tt10538562"
